SN,country,points,price,province,region_1,variety,winery
3668,Israel,89,45,Galilee,,Red Blend,1848 Winery
3669,US,89,35,California,Carneros,Chardonnay,Acacia
3670,Argentina,89,20,Mendoza Province,Mendoza,Cabernet Sauvignon,Alta Vista
3671,Argentina,89,15,Mendoza Province,Mendoza,Malbec,Mascota
3672,Italy,89,80,Piedmont,Barolo,Nebbiolo,Paolo Manzone
3673,Italy,89,65,Piedmont,Barolo,Nebbiolo,Pelassa
3674,US,89,36,Oregon,Eola-Amity Hills,Pinot Noir,Sineann
3675,Italy,89,59,Piedmont,Barolo,Nebbiolo,Tenuta Rocca
3676,US,89,27,California,Chalone,Syrah,Testarossa
3677,Germany,89,21,Mosel,,Riesling,Thanisch
3678,Germany,89,13,Rheinhessen,,Pinot Noir,Thomas Schmitt
3679,Spain,89,25,Northern Spain,Getariako Txakolina,Hondarrabi Zuri,Txomín Etxaníz
3680,US,89,45,California,Santa Barbara County,Syrah,Vie Winery
3681,Spain,89,17,Northern Spain,Rioja,Tempranillo Blend,Viña Otano
3682,US,89,56,California,Paso Robles,Bordeaux-style Red Blend,Ascension Cellars
3683,Italy,89,20,Piedmont,Barbera d'Alba,Barbera,Ascheri
3684,US,89,40,California,Sta. Rita Hills,Chardonnay,Bright Angel WInes
3685,Spain,89,27,Catalonia,Priorat,Red Blend,Buil & Giné
3686,France,89,14,Loire Valley,Muscadet Sèvre et Maine,Melon,Château de la Ragotiere
3687,US,87,35,Virginia,Virginia,Sparkling Blend,Greenhill
3688,France,87,17,Loire Valley,Sancerre,Sauvignon Blanc,Hubert Brochard
3689,France,87,25,Loire Valley,Sancerre,Pinot Noir,Jean-Paul Picard
3690,Argentina,87,23,Other,Cafayate,Cabernet Sauvignon,Michel Torino
3691,US,87,20,California,Paso Robles,Rosé,Justin
3692,France,87,14,Loire Valley,Muscadet,Melon,La Grille
3693,Italy,87,85,Piedmont,Barbaresco,Nebbiolo,Negro Angelo e Figli
3694,Italy,87,48,Piedmont,Barolo,Nebbiolo,Podere Ruggeri Corsini
3695,US,87,22,California,Napa Valley,Merlot,Rutherford Ranch
3696,US,87,22,Oregon,Willamette Valley,Pinot Gris,Silvan Ridge
3697,US,87,24,California,Livermore Valley,Sauvignon Blanc,Steven Kent
3698,Italy,87,60,Piedmont,Barolo,Nebbiolo,Stroppiana
3699,Italy,87,69,Piedmont,Barolo,Nebbiolo,Tenuta Rocca
3700,US,87,35,Virginia,Monticello,Pinot Noir,Trump
3701,Italy,87,65,Piedmont,Barolo,Nebbiolo,Bava
3702,US,87,16,California,Sonoma County,Chardonnay,Benziger
3703,US,87,15,California,North Coast,Sauvignon Blanc,Benziger
3704,US,87,18,California,Yolo County,Verdelho,Berryessa Gap
3705,Italy,87,44,Piedmont,Barolo,Nebbiolo,Bosio
3706,Italy,87,15,Piedmont,Roero,Arneis,Cascina del Pozzo
3707,US,87,18,California,Amador County,Zinfandel,Charles B. Mitchell
3708,US,87,40,California,Dry Creek Valley,Petite Sirah,Anaba
3709,Spain,86,15,Northern Spain,Rioja,Tempranillo,Conde de Altava
3710,Spain,86,10,Northern Spain,Rioja,Tempranillo,Finca del Marquesado
3711,US,86,30,California,Oakville,Merlot,District
3712,France,86,20,Loire Valley,Reuilly,Sauvignon Blanc,Domaine Dyckerhoff
3713,Argentina,86,12,Other,Salta,Torrontés,Finca El Origen
3714,US,94,105,Oregon,Willamette Valley,Pinot Noir,Ponzi
3715,US,94,60,California,Russian River Valley,Pinot Noir,Benovia
3716,France,94,45,Alsace,Alsace,Riesling,Biecher & Schaal
3717,France,94,22,Alsace,Alsace,Riesling,Charles Sparr
3718,Australia,94,65,South Australia,Barossa,Red Blend,Henschke
3719,Australia,94,55,South Australia,Barossa,Cabernet Sauvignon-Shiraz,Yalumba
3720,France,94,45,Bordeaux,Saint-Julien,Bordeaux-style Red Blend,Clos du Marquis
3721,France,94,72,Alsace,Alsace,Gewürztraminer,Domaine Schoffit
3722,France,94,64,Alsace,Alsace,Gewürztraminer,Domaine Weinbach
3723,US,94,50,California,Paso Robles,Red Blend,Epoch Estate Wines
3724,US,94,50,California,Russian River Valley,Pinot Noir,Holdredge
3725,US,94,50,California,Russian River Valley,Pinot Noir,Holdredge
3726,US,94,63,Oregon,Willamette Valley,Pinot Noir,Ken Wright
3727,Italy,94,80,Tuscany,Brunello di Montalcino,Sangiovese,Lisini
3728,US,94,54,California,Santa Lucia Highlands,Pinot Noir,Loring Wine Company
3729,US,94,45,Oregon,Oregon,Pinot Noir,Domaine J. Meuret
3730,France,94,34,Alsace,Alsace,Alsace white blend,Domaine Marcel Deiss
3731,Italy,94,65,Tuscany,Brunello di Montalcino,Sangiovese,Gianni Brunelli
3732,France,94,120,Bordeaux,Pomerol,Bordeaux-style Red Blend,Château Certan de May de Certan
3733,US,94,65,California,Sta. Rita Hills,Pinot Noir,Arcadian
3734,US,94,68,California,Russian River Valley,Pinot Noir,Arista
3735,US,94,60,California,Anderson Valley,Pinot Noir,Black Kite
3736,US,94,36,California,Arroyo Grande Valley,Chardonnay,Talley
3737,US,94,98,California,Russian River Valley,Pinot Noir,Merry Edwards
3738,US,94,90,Oregon,Dundee Hills,Pinot Noir,Nicolas-Jay
3739,US,94,72,California,Sonoma Coast,Chardonnay,Small Vines
3740,US,94,155,California,Diamond Mountain District,Cabernet Sauvignon,Vineyard 511
3741,Spain,94,50,Catalonia,Priorat,Red Blend,Vall Llach
3742,Australia,94,50,South Australia,Barossa,Shiraz,Torbreck
3743,US,93,60,California,Russian River Valley,Pinot Noir,Arista
3744,Italy,89,25,Tuscany,Chianti Classico,Red Blend,Riseccoli
3745,Italy,89,60,Tuscany,Vino Nobile di Montepulciano,Red Blend,Vecchia Cantina di Montepulciano
3746,Spain,89,55,Catalonia,Priorat,White Blend,Clos Mogador
3747,US,89,29,California,Livermore Valley,Tempranillo,Longevity
3748,France,88,19,Rhône Valley,Côtes du Rhône,Roussanne,Château du Trignon
3749,Spain,88,27,Northern Spain,Rioja,Tempranillo Blend,Consejo de la Alta
3750,Italy,88,15,Tuscany,Chianti,Red Blend,La Cignozza
3751,Italy,88,36,Tuscany,Chianti Classico,Sangiovese,Lornano
3752,Italy,88,25,Tuscany,Chianti Classico,Sangiovese,Renieri
3753,Italy,88,25,Tuscany,Chianti Classico,Red Blend,Villa di Geggiano
3754,US,88,20,California,North Coast,Pinot Noir,Chime
3755,US,88,22,California,Central Coast,Pinot Noir,Dolin
3756,US,88,11,California,California,Chardonnay,Grayson Cellars
3757,Spain,88,23,Northern Spain,Rioja,Tempranillo,Luis Cañas
3758,US,88,32,California,Paso Robles,Syrah,Midnight
3759,France,88,40,Loire Valley,Sancerre,Sauvignon Blanc,Cherrier Frères
3760,US,88,20,California,Sonoma Valley,Rosé,Deerfield Ranch
3761,France,88,19,Loire Valley,Reuilly,Sauvignon Blanc,Denis Jamain
3762,France,88,37,Burgundy,Santenay,Chardonnay,Domaine Belland
3763,France,88,24,Loire Valley,Pouilly-Fumé,Sauvignon Blanc,Domaine de Bel Air
3764,France,88,26,Loire Valley,Menetou-Salon,Sauvignon Blanc,Domaine Pellé
3765,France,88,19,Loire Valley,Menetou-Salon,Sauvignon Blanc,Domaine Roger Champault
3766,France,88,25,Burgundy,Pouilly-Fuissé,Chardonnay,Domaine Saint-Aix
3767,US,88,15,California,Santa Barbara County,Riesling,Fess Parker
3768,France,88,26,Loire Valley,Sancerre,Sauvignon Blanc,Gitton Père et Fils
3769,US,88,28,Washington,Columbia Valley (WA),Chardonnay,Gordon Estate
3770,France,88,18,Loire Valley,Quincy,Sauvignon Blanc,Henri Bourgeois
3771,France,88,22,Loire Valley,Menetou-Salon,Sauvignon Blanc,Isabelle et Pierre Clément
3772,France,88,25,Loire Valley,Sancerre,Sauvignon Blanc,Jean-Max Roger
3773,US,91,25,California,Santa Barbara County,Rhône-style Red Blend,Epiphany
3774,Austria,91,20,Weinviertel,,Grüner Veltliner,Familie Zull
3775,Austria,91,21,Burgenland,,Zweigelt,Gernot and Heike Heinrich
3776,US,91,50,Oregon,Willamette Valley,Pinot Noir,Left Coast Cellars
3777,US,91,23,California,Mendocino County,Chardonnay,Moniker
3778,Austria,91,16,Carnuntum,,Zweigelt,Netzl
3779,Austria,91,24,Niederösterreich,,Gelber Muskateller,Nigl
3780,Italy,91,25,Lombardy,Lugana,Turbiana,Ottella
3781,US,91,65,Washington,Walla Walla Valley (WA),Bordeaux-style Red Blend,Pepper Bridge
3782,US,91,22,Oregon,Willamette Valley,Rosé,Ponzi
3783,US,91,33,California,Sta. Rita Hills,Syrah,Samuel Louis Smith
3784,Austria,91,23,Kremstal,,Grüner Veltliner,Stift Göttweig
3785,Austria,91,23,Kremstal,,Riesling,Stift Göttweig
3786,Italy,91,28,Southern Italy,Fiano di Avellino,Fiano,Tenuta Sarno 1860
3787,US,91,70,California,Sonoma Coast,Pinot Noir,The Calling
3788,Austria,91,14,Niederösterreich,,St. Laurent,The Dot
3789,US,91,150,California,Napa Valley,Cabernet Sauvignon,Ideology
3790,US,91,65,California,Yountville,Petit Verdot,Grgich Hills
3791,New Zealand,91,20,Marlborough,,Sauvignon Blanc,Spy Valley
3792,Argentina,91,45,Mendoza Province,Uco Valley,Malbec,Trapiche
3793,Spain,91,46,Catalonia,Cava,Sparkling Blend,Alta Alella
3794,France,91,24,Provence,Côtes de Provence Sainte-Victoire,Rosé,Château Gassier
3795,France,91,20,Provence,Côtes de Provence Sainte-Victoire,Rosé,Château Henri Bonnaud
3796,US,91,48,California,Santa Maria Valley,Pinot Noir,Cottonwood Canyon
3797,US,91,43,California,Santa Ynez Valley,Syrah,Demetria
3798,US,91,52,California,Anderson Valley,Pinot Noir,Foursight
3799,US,91,60,Washington,Walla Walla Valley (WA),Bordeaux-style Red Blend,Pepper Bridge
3800,US,91,28,Oregon,Elkton Oregon,Pinot Noir,River's Edge
3801,Austria,91,23,Niederösterreich,,Grüner Veltliner,Salomon-Undhof
3802,US,85,22,Washington,Horse Heaven Hills,Pinot Gris,14 Hands
3803,US,85,25,California,Mendocino County,Tocai Friulano,Vía
3804,Spain,85,20,Northern Spain,Vino de la Tierra de Castilla y León,Verdejo,Ossian
3805,Spain,85,18,Catalonia,Montsant,Red Blend,Malondro
3806,Argentina,85,15,Mendoza Province,Mendoza,Syrah,Caligiore
3807,Spain,85,16,Northern Spain,Rioja,Tempranillo Blend,Conde de Jauregui
3808,Italy,85,120,Tuscany,Brunello di Montalcino,Sangiovese,Casa Raia
3809,US,85,35,California,Carmel Valley,Syrah,Joullian
3810,US,85,20,California,Cienega Valley,Cabernet Sauvignon,Pietra Santa
3811,US,85,17,Idaho,,Syrah,Sawtooth
3812,US,85,22,New York,Finger Lakes,Pinot Noir,Serenity
3813,US,85,28,New York,Finger Lakes,Merlot,Serenity
3814,US,85,15,Washington,Washington,Cabernet Sauvignon,Sharecropper's
3815,US,85,8,Washington,Columbia Valley (WA),Syrah,Snoqualmie
3816,US,85,12,Idaho,,Merlot,Ste. Chapelle
3817,Argentina,85,14,Mendoza Province,Mendoza,Pinot Grigio,Argento
3818,Spain,85,17,Levante,Jumilla,Monastrell,Casa Rojo
3819,US,85,16,Idaho,,Chardonnay,Vale
3820,US,85,30,California,California,White Blend,Las Positas
3821,France,85,30,Bordeaux,Saint-Estèphe,Bordeaux-style Red Blend,Château Tour des Termes
3822,Argentina,85,22,Mendoza Province,Mendoza,Malbec-Cabernet Sauvignon,Cinco Sentidos
3823,US,85,43,California,Carneros,Pinot Noir,Etude
3824,France,85,15,Bordeaux,Bordeaux,Bordeaux-style Red Blend,Grand Bateau
3825,US,85,45,Washington,Wahluke Slope,Petit Verdot,Stina's
3826,US,85,22,New York,Finger Lakes,Gewürztraminer,Swedish Hill
3827,US,85,25,Washington,Yakima Valley,Merlot,OS Winery
3828,France,85,12,Bordeaux,Bordeaux,Bordeaux-style Red Blend,Producta Vignobles
3829,Argentina,85,13,Other,Patagonia,Cabernet Sauvignon,Restivo
3830,US,85,20,New York,Finger Lakes,Cabernet Sauvignon,Rooster Hill
3831,France,85,25,Bordeaux,Haut-Médoc,Bordeaux-style Red Blend,Château Aney
3832,US,87,18,Oregon,Oregon,Pinot Gris,King Estate
3833,France,87,16,Southwest France,Gaillac,Red Blend,L'Enclos des Braves
3834,Spain,87,12,Northern Spain,Rueda,Verdejo,Los Navales de Martúe
3835,US,87,50,California,Temecula,Red Blend,Gershon Bachus
3836,US,87,30,California,Mendocino Ridge,Pinot Noir,Greenwood Ridge
3837,US,87,18,Oregon,Willamette Valley,Chardonnay,Gresser
3838,US,87,20,California,Napa Valley,Rosé,Des Amis
3839,Italy,87,17,Tuscany,Toscana,Red Blend,Diadema
3840,France,87,16,Southwest France,Marcillac,Fer Servadou,Domaine du Cros
3841,France,87,13,Southwest France,Côtes de Gascogne,Chenin Blanc-Chardonnay,Domaine du Tariquet
3842,US,87,24,Oregon,Willamette Valley,Pinot Noir,Et Fille
3843,Italy,87,30,Tuscany,Toscana,Red Blend,Fattoria di Travalda
3844,US,87,48,California,Happy Canyon of Santa Barbara,Red Blend,Jamie Slone Wines
3845,Italy,87,70,Tuscany,Toscana,Syrah,Terre del Marchesato
3846,US,87,32,Oregon,Willamette Valley,Pinot Noir,Van Duzer
3847,US,87,11,California,Lodi,Chardonnay,Table No. 7
3848,Italy,87,25,Tuscany,Toscana,Red Blend,Tenuta di Trecciano
3849,Italy,87,28,Tuscany,Toscana,Red Blend,Pieve Santo Stefano
3850,Italy,87,40,Tuscany,Toscana,Red Blend,Poggioventoso
3851,Italy,87,15,Tuscany,Toscana,Sangiovese,Pratesi
3852,US,87,22,California,Napa Valley,Red Blend,Verse & Chorus
3853,Spain,87,12,Northern Spain,Rioja,Rosado,Viña Eguía
3854,US,87,30,Oregon,Willamette Valley,Chardonnay,Willamette Valley Vineyards
3855,US,87,17,Oregon,Oregon,Pinot Noir,Rainstorm
3856,Chile,87,10,Maule Valley,,Sauvignon Blanc,Santa Alba
3857,Chile,87,25,Maipo Valley,,Cabernet Sauvignon,Indomita
3858,Germany,87,26,Württemberg,,Muskateller,Grafen Neipperg
3859,France,87,13,Rhône Valley,Côtes du Rhône,Rhône-style Red Blend,Laudun Chusclan
3860,France,87,16,Rhône Valley,Côtes du Rhône Villages,Rhône-style White Blend,Laudun Chusclan
3861,Germany,87,17,Mosel,,Riesling,Leonard Kreusch
3862,US,89,30,California,Lodi,Zinfandel,Ironstone
3863,US,89,24,California,Marin County,Viognier,Kendric Vineyards
3864,US,89,36,California,Russian River Valley,Viognier,Kobler
3865,US,89,40,California,Red Hills Lake County,Cabernet Sauvignon,Lake and Vine Cellars
3866,France,89,32,Champagne,Champagne,Champagne Blend,Lété-Vautrain
3867,US,89,45,Oregon,Eola-Amity Hills,Pinot Noir,Lumos
3868,Israel,89,28,Galilee,,Bordeaux-style Red Blend,Or Haganuz
3869,Israel,89,40,Judean Hills,,Bordeaux-style Red Blend,Psagot
3870,Argentina,89,100,Mendoza Province,Mendoza,Malbec,Rutini
3871,US,89,36,Oregon,Eola-Amity Hills,Pinot Noir,Sineann
3872,Italy,89,59,Piedmont,Barolo,Nebbiolo,Tenuta Rocca
3873,US,89,27,California,Chalone,Syrah,Testarossa
3874,Germany,89,21,Mosel,,Riesling,Thanisch
3875,Germany,89,13,Rheinhessen,,Pinot Noir,Thomas Schmitt
3876,Spain,89,25,Northern Spain,Getariako Txakolina,Hondarrabi Zuri,Txomín Etxaníz
3877,US,89,45,California,Santa Barbara County,Syrah,Vie Winery
3878,Spain,89,17,Northern Spain,Rioja,Tempranillo Blend,Viña Otano
3879,US,89,56,California,Paso Robles,Bordeaux-style Red Blend,Ascension Cellars
3880,Italy,89,20,Piedmont,Barbera d'Alba,Barbera,Ascheri
3881,US,89,40,California,Sta. Rita Hills,Chardonnay,Bright Angel WInes
3882,Spain,89,27,Catalonia,Priorat,Red Blend,Buil & Giné
3883,France,89,20,Loire Valley,Vouvray,Chenin Blanc,Clos du Gaimont
3884,Italy,89,30,Piedmont,Barbera d'Alba,Barbera,Comm. G. B. Burlotto
3885,US,89,50,California,Napa Valley,Cabernet Sauvignon,Crossbarn Paul Hobbs
3886,Italy,89,50,Piedmont,Barolo,Nebbiolo,Dosio
3887,Germany,89,28,Mosel,,Riesling,Dr. Heidemanns-Bergweiler
3888,US,89,45,California,Santa Barbara County,Sangiovese,Feliz Noche
3889,US,89,35,Oregon,Rogue Valley,Grenache,Folin Cellars
3890,Germany,89,29,Mosel,,Riesling,Bischöfliche Weingüter Trier
3891,Germany,89,68,Nahe,,Riesling,Prinz Salm
3892,US,89,35,California,Anderson Valley,Pinot Noir,Crossbarn by Paul Hobbs
3893,Italy,89,25,Northeastern Italy,Alto Adige,Pinot Bianco,Kellerei Kaltern Caldaro
3894,Italy,89,19,Lombardy,Lugana,Turbiana,Ottella
3895,Italy,89,18,Lombardy,Lugana,Turbiana,Pilandro
3896,Germany,89,40,Rheinhessen,,Riesling,Prinz Salm
3897,US,89,16,Oregon,Willamette Valley,Pinot Gris,Sweet Cheeks
3898,France,89,82,Champagne,Champagne,Champagne Blend,Taittinger
3899,US,89,45,Oregon,Dundee Hills,Pinot Noir,The Four Graces
3900,US,89,44,California,Marin County,Pinot Noir,Couloir
3901,France,89,62,Burgundy,Pommard,Pinot Noir,Domaine A. Machard de Gramont
3902,Italy,89,21,Northeastern Italy,Alto Adige,Riesling,Erste Neue
3903,US,89,24,California,Lodi,Cinsault,Estate Crush
3904,US,89,58,California,Russian River Valley,Pinot Noir,Gracianna
3905,Portugal,89,12,Alentejano,,Portuguese Red,Herdade de São Miguel
3906,US,89,30,California,Napa Valley,Syrah,Burgess
3907,Italy,89,15,Northeastern Italy,Alto Adige,Pinot Grigio,Cantina Produttori Cortaccia
3908,Italy,89,22,Northeastern Italy,Alto Adige,Pinot Grigio,Cantina Terlano
3909,Italy,89,70,Tuscany,Toscana,Red Blend,Castellare di Castellina
3910,Chile,89,40,Maipo Valley,,Petit Verdot,Viña Pérez Cruz
3911,Germany,89,110,Baden,,Spätburgunder,Huber
3912,Germany,89,13,Mosel,,Riesling,S.A. Prüm
3913,Germany,89,11,Pfalz,,Riesling,Clear Night
3914,France,89,100,Burgundy,Nuits-St.-Georges,Pinot Noir,Domaine de Bellene
3915,France,89,31,Burgundy,Santenay,Pinot Noir,Domaine Vincent Girardin
3916,US,89,38,Oregon,Dundee Hills,Pinot Noir,Sokol Blosser
3917,US,89,38,Oregon,Dundee Hills,Chardonnay,Sokol Blosser
3918,Italy,89,36,Sicily & Sardinia,Etna,Carricante,Tenuta delle Terre Nere
3919,France,89,26,Alsace,Alsace,Pinot Blanc,Domaine Barmès-Buecher
3920,France,89,27,Alsace,Alsace,Pinot Blanc,Domaine Ostertag
3921,Italy,89,28,Sicily & Sardinia,Etna,Carricante,Tornatore
3922,US,89,47,California,Napa Valley,Chardonnay,V. Sattui
3923,US,89,80,Oregon,Chehalem Mountains,Pinot Noir,Vidon Vineyard
3924,France,89,36,Burgundy,Montagny,Chardonnay,Chanson Père et Fils
3925,US,89,54,California,Templeton Gap District,Rhône-style Red Blend,ONX
3926,US,89,60,California,Napa Valley,Cabernet Franc,Peju
3927,US,89,35,Oregon,Dundee Hills,Pinot Noir,Durant
3928,Italy,89,10,Sicily & Sardinia,Sicilia,Grillo,Stemmari
3929,France,89,36,Burgundy,Mercurey,Chardonnay,Albert Bichot
3930,France,89,16,Alsace,Alsace,Pinot Blanc,Allimant-Laugner
3931,Germany,89,22,Mosel,,Riesling,Max Ferd. Richter
3932,US,89,30,California,Santa Ynez Valley,Red Blend,McKinney
3933,US,89,55,Oregon,Willamette Valley,Pinot Noir,Soléna
3934,Italy,89,25,Sicily & Sardinia,Sicilia,Nerello Cappuccio,Tenuta di Fessina
3935,France,89,14,Alsace,Alsace,Pinot Blanc,Ruhlmann
3936,Italy,89,16,Southern Italy,Falanghina del Beneventano,Falanghina,Villa Raiano
3937,Italy,89,17,Southern Italy,Fiano di Avellino,Fiano,Mastroberardino
3938,US,89,38,California,Adelaida District,Zinfandel,Peachy Canyon
3939,US,89,20,California,Shenandoah Valley (CA),Tempranillo,Los Portales
3940,US,89,16,California,El Dorado,Sauvignon Blanc,Boeger
3941,Spain,89,23,Northern Spain,Rioja,Tempranillo,Dios Ares
3942,US,89,14,California,Mendocino County,Cabernet Sauvignon,Girasole
3943,US,90,35,California,Russian River Valley,Chardonnay,Inman Family
3944,France,90,32,Alsace,Alsace,Riesling,Kuentz-Bas
3945,Chile,90,25,Leyda Valley,,Pinot Noir,Luis Felipe Edwards
3946,US,90,30,California,Russian River Valley,Chardonnay,Lynmar
3947,US,90,24,New York,Finger Lakes,Pinot Noir,Billsboro
3948,US,90,13,Washington,Yakima Valley,Riesling,Frost Bitten
3949,US,90,42,California,Santa Barbara County,Bordeaux-style Red Blend,Kuyam
3950,US,90,16,New York,Finger Lakes,Cabernet Franc,Heron Hill
3951,US,90,20,New York,Finger Lakes,Cabernet Franc,Lamoreaux Landing
3952,US,90,35,California,Santa Barbara County,Rhône-style Red Blend,Core Winery
3953,US,90,30,Washington,Walla Walla Valley (WA),Cabernet Sauvignon,Mannina Cellars
3954,US,90,20,Washington,Columbia Valley (WA),Bordeaux-style Red Blend,Elevation Cellars
3955,US,90,35,California,Santa Barbara County,Syrah,Epiphany
3956,Chile,90,50,Maipo Valley,,Red Blend,Santa Ema
3957,US,90,90,California,Napa Valley,Cabernet Sauvignon,Sequoia Grove
3958,US,90,21,New York,Hudson River Region,Gamay Noir,Whitecliff Vineyard
3959,US,90,16,California,Santa Ynez Valley,Chardonnay,Zaca Mesa
3960,US,90,55,California,Napa Valley,Zinfandel,Brown Estate
3961,Italy,90,65,Piedmont,Barbaresco,Nebbiolo,Cascina Luisin
3962,Italy,90,93,Piedmont,Barbaresco,Nebbiolo,Ceretto
3963,France,90,25,Bordeaux,Médoc,Bordeaux-style Red Blend,Château Castera
3964,France,90,35,Bordeaux,Saint-Émilion,Bordeaux-style Red Blend,Château Franc Pipeau
3965,US,90,35,California,Napa Valley,Merlot,Clos du Val
3966,US,90,35,California,Santa Cruz Mountains,Chardonnay,Clos La Chance
3967,US,90,25,California,Sonoma Coast,Chardonnay,Crossbarn by Paul Hobbs
3968,Italy,90,50,Piedmont,Barbaresco,Nebbiolo,Rivetti Massimo
3969,Slovenia,90,17,Štajerska,,Chardonnay,Sanctum
3970,Italy,90,49,Piedmont,Barbaresco,Nebbiolo,Socré
3971,US,90,64,California,Sonoma Valley,Cabernet Sauvignon,Ram's Gate
3972,US,86,25,California,Russian River Valley,Chardonnay,Foppiano
3973,US,86,24,California,Russian River Valley,Chardonnay,Girard
3974,US,86,60,Virginia,Virginia,Meritage,Jefferson Vineyards
3975,Portugal,86,13,Douro,,Portuguese White,Kopke
3976,Italy,86,55,Piedmont,Barolo,Nebbiolo,Mauro Sebaste
3977,US,86,18,California,Paso Robles,Rosé,MCV
3978,Italy,86,60,Piedmont,Barbaresco,Nebbiolo,Cascina Bruciata
3979,Romania,86,9,Dealurile Munteniei,,Cabernet Sauvignon,Cramele Halewood
3980,Spain,86,15,Northern Spain,Ribera del Duero,Tempranillo Blend,Rejadorada
3981,US,86,18,Virginia,Virginia,Merlot,Rosemont
3982,Argentina,86,11,Mendoza Province,Uco Valley,Cabernet Sauvignon,Salentein
3983,US,86,20,California,Paso Robles,Pinot Gris,Still Waters
3984,US,86,26,Arizona,Arizona,White Blend,Sultry Cellars
3985,US,86,25,Virginia,Virginia,Cabernet Franc,The Boneyard
3986,US,86,21,Oregon,Willamette Valley,Muscat,Treos
3987,Spain,86,8,Central Spain,Vino de la Tierra de Castilla,Tempranillo,Pallas
3988,Spain,86,22,Central Spain,La Mancha,Red Blend,El Vinculo
3989,Portugal,86,13,Alentejano,,Verdelho,Herdade do Esporão
3990,Portugal,86,19,Península de Setúbal,,Moscatel Roxo,José Maria da Fonseca
3991,US,86,24,Virginia,Monticello,Chardonnay,King Family
3992,France,86,13,Loire Valley,Muscadet Sèvre et Maine,Melon,Les Vignerons des Terroirs de la Noëlle
3993,Serbia,86,22,Župa,,Riesling,Budimir
3994,Spain,86,10,Northern Spain,Ribera del Duero,Tempranillo Blend,Bodegas Fuentespina
3995,US,86,48,California,Paso Robles,Cabernet Sauvignon,Broken Earth
3996,US,86,20,Oregon,Willamette Valley,Pinot Noir,Bryn Mawr Vineyards
3997,France,86,36,Bordeaux,Lussac Saint-Émilion,Merlot,Château des Landes
3998,US,86,30,California,Russian River Valley,Pinot Noir,Cuvée Wine Cellars
3999,US,86,18,Arizona,Cochise County,Pinot Gris,Pillsbury
4000,US,93,44,California,Arroyo Grande Valley,Chardonnay,Talley
4001,US,93,34,California,Contra Costa County,Zinfandel,Three
4002,Australia,93,120,South Australia,Barossa,Shiraz,Yalumba
4003,France,93,28,Alsace,Alsace,Pinot Noir,Cave de Ribeauvillé
4004,US,93,40,California,Santa Maria Valley,Chardonnay,Byron
4005,US,93,55,California,Sta. Rita Hills,Pinot Noir,Byron
4006,Italy,93,60,Tuscany,Brunello di Montalcino,Sangiovese,Campogiovanni
4007,Spain,93,99,Catalonia,Priorat,Carignan,Portal del Priorat
4008,France,93,20,Bordeaux,Saint-Estèphe,Bordeaux-style Red Blend,Château Capbern
4009,France,93,22,Bordeaux,Haut-Médoc,Bordeaux-style Red Blend,Château Cissac
4010,France,93,65,Bordeaux,Saint-Estèphe,Bordeaux-style Red Blend,Château Cos d'Estournel
4011,France,93,35,Bordeaux,Saint-Émilion,Bordeaux-style Red Blend,Château la Grâce Dieu
4012,France,93,110,Bordeaux,Pomerol,Bordeaux-style Red Blend,Château Latour à Pomerol
4013,US,93,60,California,Anderson Valley,Pinot Noir,Daniel
4014,France,93,35,Alsace,Alsace,Riesling,Domaine Charles Baur
4015,France,93,36,Alsace,Alsace,Red Blend,Domaine Marcel Deiss
4016,France,93,24,Alsace,Alsace,Alsace white blend,Domaine Marcel Deiss
4017,France,93,72,Alsace,Alsace,Pinot Gris,Domaine Schoffit
4018,France,93,45,Alsace,Alsace,Muscat,Domaine Schoffit
4019,US,93,90,California,Russian River Valley,Pinot Noir,Donum
4020,US,93,45,California,Sonoma Coast,Chardonnay,Dunstan
4021,US,93,62,California,Fort Ross-Seaview,Pinot Noir,Dutton-Goldfield
4022,Spain,93,40,Northern Spain,Bierzo,Mencía,Godelia
4023,Italy,93,85,Tuscany,Brunello di Montalcino,Sangiovese,Il Poggione
4024,US,93,75,California,Paso Robles Willow Creek District,Red Blend,Jada Vineyard & Winery
4025,US,93,60,Oregon,Dundee Hills,Pinot Noir,Kelley Fox
4026,US,93,63,Oregon,Eola-Amity Hills,Pinot Noir,Ken Wright
4027,US,93,63,Oregon,Willamette Valley,Pinot Noir,Ken Wright
4028,US,88,20,New York,Finger Lakes,Riesling,Lakewood
4029,US,88,45,California,Sonoma Valley,Syrah,Miracle Hill
4030,Canada,88,24,British Columbia,Okanagan Valley,Chardonnay,Mission Hill
4031,US,88,48,California,Santa Maria Valley,Pinot Noir,Nagy
4032,US,88,30,Washington,Columbia Valley (WA),Rhône-style Red Blend,:Nota Bene
4033,Turkey,88,15,Aegean,,Rosé,Paşaeli
4034,US,88,34,Washington,Walla Walla Valley (WA),Sangiovese,Plumb Cellars
4035,US,88,36,California,Dry Creek Valley,Zinfandel,Phipps
4036,Italy,88,56,Tuscany,Chianti Classico,Red Blend,Poggio Borgoni
4037,US,88,18,California,Sonoma County,Red Blend,The Lost Colony
4038,Turkey,88,25,Ankara,,Kalecik Karasi,Vinkara
4039,US,88,14,Washington,Columbia Valley (WA),Cabernet Sauvignon,Skyfall
4040,Italy,88,18,Tuscany,Maremma Toscana,Red Blend,Tenuta La Badiola
